round,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,train_loss,lr,seconds,skipped_steps,samples_per_sec,peak_gb
36,0.8447236557741911,0.839529910191007,0.8447236557741911,0.8447931223254125,0.8400057455928818,0.8447236557741911,0.8447236557741911,0.8365224824326335,0.8447236557741911,0.8412178188071369,0.05213954299688339,0.00016384955486934156,329.7,4,130544,5.6
37,0.8432999487145796,0.8397712953879172,0.8432999487145796,0.8448780354743946,0.8395710258714069,0.8432999487145796,0.8432999487145796,0.836626822987612,0.8432999487145796,0.8408023054890764,0.051779091358184814,0.00014082532495113625,330.9,5,130070,5.6
38,0.8443249137212706,0.8400308938573191,0.8443249137212706,0.844388168635999,0.8380463205789925,0.8443249137212706,0.8443249137212706,0.8352340219034512,0.8443249137212706,0.8402932141118225,0.05143775790929794,0.0001192770208154328,330.1,4,130392,5.6
39,0.842073057238302,0.8374959829221208,0.842073057238302,0.8429135458274923,0.8384006811535457,0.842073057238302,0.842073057238302,0.8343226286940152,0.842073057238302,0.8382219337106576,0.051144324243068695,9.929318906602175e-05,330.1,4,130417,5.6
40,0.8427821694745721,0.8386733341277861,0.8427821694745721,0.8444470899680184,0.8398918352503653,0.8427821694745721,0.8427821694745721,0.8360079306870964,0.8427821694745721,0.8398661014478302,0.050897616893053055,8.09559475540797e-05,330.0,5,130420,5.6
41,0.8326437508775624,0.828896850982427,0.8326437508775624,0.8381602398084204,0.8299664920162613,0.8326437508775624,0.8326437508775624,0.8243559088503694,0.8326437508775624,0.8306025119737541,0.05063919350504875,6.43406479383053e-05,331.3,4,129937,5.6
42,0.8396006892448276,0.8357387599231625,0.8396006892448276,0.8417506077087803,0.8383277436462971,0.8396006892448276,0.8396006892448276,0.8336832573552487,0.8396006892448276,0.8367658515995369,0.05038917064666748,4.9515566048790485e-05,329.1,5,130796,5.6
43,0.8436161731858189,0.8393893077685505,0.8436161731858189,0.845565553659417,0.8407544331417661,0.8436161731858189,0.8436161731858189,0.8369575010927867,0.8436161731858189,0.8410750726399634,0.05020362511277199,3.654162132698918e-05,329.4,5,130684,5.6
44,0.8433071039553335,0.8378464910305531,0.8433071039553335,0.843338191586159,0.8384753483031081,0.8433071039553335,0.8433071039553335,0.8345102365293215,0.8433071039553335,0.8394806150175785,0.05002206563949585,2.547212649466568e-05,328.8,5,130926,5.6
45,0.8425855397416475,0.8374927999347481,0.8425855397416475,0.84351205932866,0.8392116965843286,0.8425855397416475,0.8425855397416475,0.834794891432773,0.8425855397416475,0.8391196353979422,0.04992532730102539,1.6352568480485276e-05,329.8,5,130523,5.6
46,0.8418444612349965,0.8366753312770181,0.8418444612349965,0.8430799161181785,0.8396615499939273,0.8418444612349965,0.8418444612349965,0.834670920196452,0.8418444612349965,0.8386804396971684,0.049782153218984604,9.22042150446728e-06,365.0,4,117931,5.62
47,0.8433820016702376,0.8384781462742834,0.8433820016702376,0.8443641708424996,0.8404106722762821,0.8433820016702376,0.8433820016702376,0.8361423144497298,0.8433820016702376,0.8402300101895372,0.0497094951570034,4.104993088376974e-06,351.6,5,122425,5.6
48,0.8414065976709413,0.8376270873549478,0.8414065976709413,0.8436042408516379,0.8393846642105205,0.8414065976709413,0.8414065976709413,0.8350292240854481,0.8414065976709413,0.838599131053334,0.04964514449238777,1.0273036248318324e-06,343.8,4,125194,5.6
49,0.8434043966445453,0.8390627594385265,0.8434043966445453,0.8448972003547913,0.8404441173376966,0.8434043966445453,0.8434043966445453,0.8364765200548974,0.8434043966445453,0.8405301159371757,0.04961232841014862,0.0,346.2,5,124333,5.6
