round,rule,n_clients,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,f1_macro_std,f1_macro_min,f1_macro_max
18,proto,100,0.4122931561608992,0.4785253340616908,0.4122931561608992,0.6070869057720831,0.4384773446847406,0.4122931561608992,0.4122931561608992,0.4026766510598203,0.4122931561608992,0.43238257963171906,0.05272810952169797,0.252313858123098,0.5076672565943572
18,clf,100,0.3799144279668439,0.4258526386437782,0.3799144279668439,0.5716795146665855,0.4109587593266737,0.3799144279668439,0.3799144279668438,0.32215117281487304,0.3799144279668439,0.3618692343376781,0.054944207433729665,0.16854054286034262,0.4348408879122555
19,proto,100,0.40931763349611666,0.47625191525792165,0.40931763349611666,0.6064346553663458,0.4375669389398309,0.40931763349611666,0.4093176334961165,0.4002783426733248,0.40931763349611666,0.42969353628318196,0.053306284642404375,0.24200383018802604,0.5034762958063045
19,clf,100,0.37689294914212845,0.42534191591083437,0.37689294914212845,0.5743222156839173,0.4097216032479497,0.37689294914212845,0.3768929491421285,0.32094652187440453,0.37689294914212845,0.36020496254905426,0.05297325412684073,0.17199659839542447,0.4452043299189332
20,proto,100,0.40674508562732387,0.4780943040637952,0.40674508562732387,0.6078848752278959,0.43433106030289054,0.40674508562732387,0.40674508562732387,0.39883268410619555,0.40674508562732387,0.4282721054303864,0.05309806817482317,0.2375282945573017,0.496573406411771
20,clf,100,0.3790570266183319,0.4248685947635103,0.3790570266183319,0.5734180107561112,0.41131371863444,0.3790570266183319,0.3790570266183319,0.3211762863991875,0.3790570266183319,0.3620683282445756,0.054615483455012555,0.17567475815323058,0.42018199270161094
21,proto,100,0.40372322859702564,0.47398366160359684,0.40372322859702564,0.6050221022526023,0.4324706517599223,0.40372322859702564,0.40372322859702564,0.3958382818547141,0.40372322859702564,0.424545150593163,0.05444415019912393,0.24944269581039544,0.5139763473018808
21,clf,100,0.3778070515919807,0.42476894950596306,0.3778070515919807,0.5729341764182909,0.41059562167973523,0.3778070515919807,0.3778070515919807,0.3213548999463057,0.3778070515919807,0.3602235502835569,0.054943580913070195,0.16770439109197255,0.46040645421945725
22,proto,100,0.39830950467799425,0.4730754908693904,0.39830950467799425,0.6049065261932158,0.42946428834309247,0.39830950467799425,0.39830950467799425,0.393312778268843,0.39830950467799425,0.42091651581119854,0.053040969909956194,0.23688568743760768,0.48742681361973506
22,clf,100,0.3737231812051711,0.4201062563962926,0.3737231812051711,0.5696895656389016,0.4101381404221805,0.3737231812051711,0.3737231812051711,0.3196532524270224,0.3737231812051711,0.35638683059724907,0.053799735465516724,0.17380905975139355,0.4176456885161365
23,proto,100,0.39244417076939186,0.4697307980800695,0.39244417076939186,0.6021108006268302,0.42524559651496857,0.39244417076939186,0.39244417076939186,0.3888218044097655,0.39244417076939186,0.414656800015448,0.05467136002699807,0.24089214700057343,0.5038965183294435
23,clf,100,0.37213551970232717,0.42244190377178353,0.37213551970232717,0.5717690355219684,0.40911557173327523,0.37213551970232717,0.37213551970232717,0.31872418600714947,0.37213551970232717,0.354644905107913,0.053088535703462975,0.16786582941011102,0.4308507817684377
24,proto,100,0.39282856795847876,0.46492526244644117,0.39282856795847876,0.5996279012617772,0.426411493993241,0.39282856795847876,0.39282856795847876,0.3884764427313807,0.39282856795847876,0.4152274174239178,0.05266907780019981,0.2322021880867855,0.4848908238682291
24,clf,100,0.37427082103042353,0.42268199348693924,0.37427082103042353,0.5721285897557683,0.41128593490752635,0.37427082103042353,0.37427082103042353,0.32036910439507615,0.37427082103042353,0.3566416841871717,0.05471746930225244,0.17749734093499256,0.4477722546562302
25,proto,100,0.3889675805333961,0.46518690283857267,0.3889675805333961,0.6000709159649187,0.4246983630985781,0.3889675805333961,0.3889675805333961,0.385746069193788,0.3889675805333961,0.4108702724402766,0.0514625012453019,0.2525512745878464,0.49769397065894105
25,clf,100,0.37169960570906424,0.4207219833351115,0.37169960570906424,0.5718957808746429,0.41158189797432726,0.37169960570906424,0.3716996057090644,0.31945244918296806,0.37169960570906424,0.3539473404310882,0.052562729967302046,0.18970217682945223,0.4272407584845589
